title,company,wage,location,sector,level
Брэнд менежер,Авто-ойл ХХК,"3,000,000 - 4,000,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","Маркетинг, PR, Менежмент",Дунд шатны удирдлага
Зээлийн эрсдэлийн мэргэжилтэн,ГэрэлФинанс ББСБ,"1,500,000 - 1,800,000 ₮","80534545, 77174545",1,Мэргэжилтэн
"Захиалга, Бичиг хэргийн ажилтан ""Гэрэлт тамга""ХХК",ГэрэлФинанс ББСБ,"1,500,000 - 1,800,000 ₮","80534545, 77174545",1,Мэргэжилтэн
Тооцооны нягтлан бодогч,Мүсүби ХХК,"3,000,000 - 4,000,000 ₮ | Тохиролцоно","Улаанбаатар хот, Сүхбаатар дүүрэг","Худалдаа, Борлуулалт",Мэргэжилтэн
Гэрээний удирдлагын менежер / Commercial Manager,Эрдэнэ Монгол ХХК,Тохиролцоно,"Улаанбаатар хот, Сүхбаатар дүүрэг",Уул уурхай,Дунд шатны удирдлага
ТООЦООНЫ НЯГТЛАН БОДОГЧ,Premier Tailor LLC,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Сүхбаатар дүүрэг","Банк, санхүү, нягтлан бодох бүртгэл",Дунд шатны удирдлага
Senior HSE Superintendent,Камминс Монголиа Инвестмент ХХК,"4,000,000 - 5,000,000 ₮","Улаанбаатар хот, Баянгол дүүрэг","ХАА, Байгаль экологи",Мэргэжилтэн
"ТОГООЧ /Ерөнхий, Грилл, Ээлжийн/",Брасерий Монголиа ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг","Ресторан, Хоол үйлдвэрлэл",Мэргэжилтэн
ДАРХАНД ББСБ-Д САЛБАРЫН ЭДИЙН ЗАСАГЧ АЖИЛД АВНА.,ОНЧ-ЭНХ ББСБ,"1,800,000 - 2,100,000 ₮","70000970, 70000970","Банк, санхүү, нягтлан бодох бүртгэл",Мэргэжилтэн
ХАБЭА-н менежер,Грийн Трейд ХХК,"2,500,000 - 3,000,000 ₮","Улаанбаатар хот, Сонгинохайрхан дүүрэг","Үйлдвэрлэл, Дэд бүтэц",Дунд шатны удирдлага
Гадаад харилцааны туслах менежер,Сэрүүн Сервис,"1,800,000 - 2,100,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг","Барилга, Үл хөдлөх хөрөнгө",Мэргэжилтэн
ЗАСВАРЫН ТӨВИЙН МЕНЕЖЕР,Бэст Компьютерс Технологи ХХК,"2,100,000 - 2,500,000 ₮","Улаанбаатар хот, Чингэлтэй дүүрэг",Үйлчилгээ,Мэргэжилтэн
